Date and Time, X-Value, Y-Value, Z-Value, Battery Level, Currently Charging?,Usual Walking
2023-10-03 15:24:50.231,-10.0652,-3.0861,0.7661,98,False,0
2023-10-03 15:24:50.392,-7.446,-6.9384,0.6081,98,False,0
2023-10-03 15:24:50.553,-11.7938,-4.7381,-0.3567,98,False,0
2023-10-03 15:24:50.711,-13.113,-2.9975,-0.8164,98,False,0
2023-10-03 15:24:50.873,-10.8505,-2.873,-0.8667,98,False,0
2023-10-03 15:24:53.509,-7.6064,-1.7861,1.2163,98,False,0
2023-10-03 15:24:53.520,-26.3721,-5.5091,2.7102,98,False,0
2023-10-03 15:24:53.602,-5.9951,-3.1771,1.8962,98,False,0
2023-10-03 15:24:53.767,-5.2912,-4.6376,0.9768,98,False,0
2023-10-03 15:24:53.928,-22.4983,-1.6616,-3.0047,98,False,0
2023-10-03 15:24:55.049,-6.1459,-3.8738,-0.1939,98,False,0
2023-10-03 15:24:55.060,-14.2072,-3.0311,-1.0726,98,False,0
2023-10-03 15:24:55.065,-16.1513,-4.1013,0.4501,98,False,0
2023-10-03 15:24:55.214,-5.6288,-2.7054,1.2522,98,False,0
2023-10-03 15:24:55.379,-3.5674,-1.5706,0.4118,98,False,0
2023-10-03 15:24:55.537,-13.872,-4.2641,-1.2474,98,False,0
2023-10-03 15:24:55.697,-6.0621,-2.8539,-0.8906,98,False,0
2023-10-03 15:24:55.858,-13.4363,-4.3766,1.5538,98,False,0
2023-10-03 15:24:56.018,-5.217,-2.9281,0.3926,98,False,0
2023-10-03 15:24:56.179,-15.6102,-3.2872,-2.2649,98,False,0
2023-10-03 15:24:56.339,-11.0588,-2.5762,-0.1508,98,False,0
2023-10-03 15:24:56.499,-3.5171,-3.0047,-0.8643,98,False,0
2023-10-03 15:24:56.655,-14.54,-2.4612,0.3256,98,False,0
2023-10-03 15:24:56.820,-9.4763,-2.7581,0.1197,98,False,0
2023-10-03 15:24:57.062,-8.0541,-3.9863,0.1053,98,False,0
2023-10-03 15:24:57.133,-7.6974,-3.2417,0.2538,98,False,0
2023-10-03 15:24:57.300,-8.8298,-3.2394,-0.1197,98,False,0
2023-10-03 15:24:57.458,-24.4951,-2.1787,-4.221,98,False,0
2023-10-03 15:24:57.639,-7.6375,-5.5617,-0.5267,98,False,0
2023-10-03 15:24:57.778,-7.039,-2.6743,0.0622,98,False,0
2023-10-03 15:24:57.940,-8.5401,-3.9959,1.8818,98,False,0
2023-10-03 15:24:58.099,-5.6096,-2.7102,0.1676,98,False,0
2023-10-03 15:24:58.261,-16.2997,-1.6688,-2.909,98,False,0
2023-10-03 15:24:58.421,-7.5322,-5.0781,0.2418,98,False,0
2023-10-03 15:24:59.249,-9.4212,-2.7509,-0.1484,98,False,0
2023-10-03 15:24:59.257,-7.422,-4.3072,-0.8954,98,False,0
2023-10-03 15:24:59.261,-7.3502,-3.2441,-0.8835,98,False,0
2023-10-03 15:24:59.385,-14.9638,-3.4884,-2.0949,98,False,0
2023-10-03 15:24:59.547,-6.7493,-3.8259,-0.3903,98,False,0
2023-10-03 15:24:59.709,-3.7517,-1.3408,0.1269,98,False,0
2023-10-03 15:25:07.439,-11.5281,-3.6751,-0.2562,98,False,0
2023-10-03 15:25:07.451,-10.8122,-3.1963,1.4246,98,False,0
